organization_name,city,state,FY12,FY13,institution_type,direct_cost,indirect_cost,funding,calculated_indirect_cost
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MASSACHUSETTS,78.5,76,Hosp,229550481,88719722,315919592,38.6
UNIV OF MEDICINE &DENTISTRY OF NEW JERSEY,NEW BRUNSWICK,NEW JERSEY,58,58,Higher Ed,50120314,19333867,67891605,38.6
UNIVERSITY OF TEXAS AUSTIN,AUSTIN,TEXAS,54,54,Higher Ed,37063261,14320893,51242696,38.6
"MC LEAN HOSPITAL (BELMONT, MA)",BELMONT,MASSACHUSETTS,58,58,Hosp,17493025,6741728,24627722,38.5
SAINT LOUIS UNIVERSITY,SAINT LOUIS,MISSOURI,50,50,Higher Ed,10026139,3861015,16231994,38.5
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WEST VIRGINIA,48,48,Higher Ed,9421768,3625898,13047666,38.5
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,CARBONDALE,ILLINOIS,47.5,47.5,Higher Ed,2163901,834115,2998016,38.5
CALIFORNIA STATE UNIVERSITY FRESNO,FRESNO,CALIFORNIA,38.4,38.4,Higher Ed,72375,27792,100167,38.4
SYRACUSE UNIVERSITY,SYRACUSE,NEW YORK,47,48,Higher Ed,2360609,904736,3265345,38.3
JOHNS HOPKINS UNIVERSITY,BALTIMORE,MARYLAND,62,62,Higher Ed,417750497,159521576,574844637,38.2
UNIVERSITY OF GEORGIA (UGA),ATHENS,GEORGIA,48.5,48.5,Higher Ed,25134440,9606850,35892320,38.2
UNIVERSITY OF MASSACHUSETTS AMHERST,AMHERST,MASSACHUSETTS,58.5,59,Higher Ed,15697752,5981115,21678867,38.1
FLORIDA ATLANTIC UNIVERSITY,BOCA RATON,FLORIDA,44.5,48.5,Higher Ed,3468112,1321543,4789655,38.1
WASHINGTON STATE UNIVERSITY,PULLMAN,WASHINGTON,50,51,Higher Ed,14949735,5674993,20614749,38
METHODIST HOSPITAL RESEARCH INSTITUTE,HOUSTON,TEXAS,55.5,57.5,NP res inst,10240053,3883845,11895351,37.9
TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,LUBBOCK,TEXAS,49.5,50.5,Higher Ed,7303518,2765828,10069346,37.9
UNIVERSITY OF ROCHESTER,ROCHESTER,NEW YORK,54.5,53.5,Higher Ed,104244575,39296823,146849347,37.7
UNIVERSITY OF CALIFORNIA BERKELEY,BERKELEY,CALIFORNIA,53.5,55.5,Higher Ed,87597594,33022694,119785503,37.7
TEXAS A&M UNIVERSITY SYSTEM,COLLEGE STATION,TEXAS,46.5,46,Higher Ed,11383974,4295455,15679429,37.7
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,TEMPE,ARIZONA,54,54,Higher Ed,30100797,11309994,41341038,37.6
CHILDREN'S HOSPITAL LOS ANGELES,LOS ANGELES,CALIFORNIA,62,62,Hosp,12561478,4719060,17149123,37.6
UNIVERSITY OF CONNECTICUT STORRS,STORRS-MANSFIELD,CONNECTICUT,57,57,Higher Ed,11761161,4426804,16179653,37.6
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FLORIDA,45,45,Higher Ed,5239152,1970634,7209786,37.6
EMORY UNIVERSITY,ATLANTA,GEORGIA,55,56,Higher Ed,191885960,71929168,272395344,37.5
CREIGHTON UNIVERSITY,OMAHA,NEBRASKA,44.5,44.5,Higher Ed,5807240,2174985,7982225,37.5
NORTHWESTERN UNIVERSITY AT CHICAGO,CHICAGO,ILLINOIS,54.5,54.5,Higher Ed,124113727,46386710,176604480,37.4
BROWN UNIVERSITY,PROVIDENCE,RHODE ISLAND,62,62,Higher Ed,41393217,15494002,56210561,37.4
LSU PENNINGTON BIOMEDICAL RESEARCH CTR,BATON ROUGE,LOUISIANA,44,44,Higher Ed,12107510,4523345,16549727,37.4
HUNTER COLLEGE,NEW YORK,NEW YORK,53,53,Higher Ed,10535136,3935107,14470243,37.4
EAST CAROLINA UNIVERSITY,GREENVILLE,NORTH CAROLINA,44.5,47,Higher Ed,4381188,1639480,6020668,37.4
UNIVERSITY OF CALIFORNIA SAN DIEGO,LA JOLLA,CALIFORNIA,54.5,55,Higher Ed,265919507,99088243,362004733,37.3
UNIVERSITY OF CALIFORNIA DAVIS,DAVIS,CALIFORNIA,53.5,54,Higher Ed,132609477,49438262,180683527,37.3
UNIVERSITY OF HOUSTON,HOUSTON,TEXAS,49.5,50,Higher Ed,11422782,4264045,15044229,37.3
OREGON HEALTH AND SCIENCE UNIVERSITY,PORTLAND,OREGON,54,54,Higher Ed,140314515,52105373,190719145,37.1
LANKENAU INSTITUTE FOR MEDICAL RESEARCH,WYNNEWOOD,PENNSYLVANIA,65,65,NP res inst,1153923,428531,1502454,37.1
UNIVERSITY OF UTAH,SALT LAKE CITY,UTAH,50,50,Higher Ed,99083648,36613724,140494332,37
NORTHWESTERN UNIVERSITY,EVANSTON,ILLINOIS,54.5,54.5,Higher Ed,29177030,10783489,56490835,37
NATIONAL DEVELOPMENT & RES INSTITUTES (Negotiated rate from FY 2012),NEW YORK,NEW YORK,53.5,53.5,NP res inst,6708107,2482261,8846291,37
BLOOD SYSTEMS RESEARCH INSTITUTE,SAN FRANCISCO,CALIFORNIA,58,58,NP res inst,1236326,455599,11044343,36.9
BRIGHAM YOUNG UNIVERSITY,PROVO,UTAH,50,50,Higher Ed,1693558,622411,2315969,36.8
WASHINGTON UNIVERSITY,SAINT LOUIS,MISSOURI,52,52,Higher Ed,250376701,91695887,321046726,36.6
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,CHARLOTTESVILLE,VIRGINIA,54,58,Higher Ed,80791771,29575019,110028335,36.6
FLORIDA AGRICULTURAL AND MECHANICAL UNIV,TALLAHASSEE,FLORIDA,46,46,Higher Ed,3361168,1229041,4590209,36.6
EAST TENNESSEE STATE UNIVERSITY,JOHNSON CITY,TENNESSEE,46,46,Higher Ed,3206744,1172391,4379135,36.6
MARQUETTE UNIVERSITY,MILWAUKEE,WISCONSIN,50.5,50.5,Higher Ed,2044217,747176,2791393,36.6
UNIVERSITY OF IOWA,IOWA CITY,IOWA,51,51,Higher Ed,109123468,39798882,151386871,36.5
TEXAS AGRILIFE RESEARCH,COLLEGE STATION,TEXAS,46.5,46,Higher Ed,2350382,857190,3206406,36.5
AGNES SCOTT COLLEGE,DECATUR,GEORGIA,54,54,Higher Ed,226751,82731,309482,36.5
UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OKLAHOMA,51,51,Higher Ed,4818279,1751747,6570026,36.4
HAMPTON UNIVERSITY,HAMPTON,VIRGINIA,48,48,Higher Ed,1698644,618846,2317490,36.4
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PENNSYLVANIA,47,47,NP res inst,1025397,373174,1398571,36.4
HARVARD UNIVERSITY MEDICAL SCHOOL,BOSTON,MASSACHUSETTS,69,69,Higher Ed,137721029,49959175,185223961,36.3
"TREATMENT RESEARCH INSTITUTE, INC. (TRI)",PHILADELPHIA,PENNSYLVANIA,58.2,58.2,NP res inst,2797724,1015578,3813302,36.3
NORTH CAROLINA CENTRAL UNIVERSITY,DURHAM,NORTH CAROLINA,40,40,Higher Ed,3098020,1117852,3751012,36.1
CHILDREN'S HOSPITAL MEDICAL CENTER CINCI,CINCINNATI,OHIO,53,53,Hosp,72827754,26195645,105269995,36
NEW YORK STATE PSYCHIATRIC INSTITUTE,NEW YORK,NEW YORK,59.8,59.8,Hosp,33809124,12165041,45962566,36
WRIGHT STATE UNIVERSITY,DAYTON,OHIO,46,46,Higher Ed,4422281,1593718,6015999,36
MARSHFIELD CLINIC RESEARCH FOUNDATION,MARSHFIELD,WISCONSIN,50,50,NP res inst,1024966,369334,1394300,36
UNIVERSITY OF CALIFORNIA SANTA CRUZ,SANTA CRUZ,CALIFORNIA,51.5,52,Higher Ed,21015631,7542632,28551095,35.9
UNIVERSIDAD CENTRAL DEL CARIBE,BAYAMON,PUERTO RICO,65,65,Higher Ed,4329109,1554723,5379753,35.9
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MISSISSIPPI,49.5,49.5,Higher Ed,15190781,5432406,25814015,35.8
UNIVERSITY OF KANSAS LAWRENCE,LAWRENCE,KANSAS,47,49,Higher Ed,17247356,6171494,24581177,35.8
UNIVERSITY OF CALIFORNIA IRVINE,IRVINE,CALIFORNIA,53,53.5,Higher Ed,94144639,33624065,126433097,35.7
UNIVERSITY OF CINCINNATI,CINCINNATI,OHIO,57,57,Higher Ed,47291646,16886967,65065239,35.7
BOSTON MEDICAL CENTER,BOSTON,MASSACHUSETTS,69,69,Hosp,25299003,9021556,34357978,35.7
UNIVERSITY OF ARKANSAS AT FAYETTEVILLE,FAYETTEVILLE,ARKANSAS,44,44,Higher Ed,1523263,543157,2066420,35.7
QUEEN'S MEDICAL CENTER,HONOLULU,HAWAII,70,70,Hosp,539660,192700,732360,35.7
HENRY FORD HEALTH SYSTEM,DETROIT,MICHIGAN,46.5,48.5,Hosp,14909337,5303692,20213029,35.6
LOYOLA UNIVERSITY CHICAGO,MAYWOOD,ILLINOIS,49.5,51,Higher Ed,14362953,5113843,19451796,35.6
KANSAS STATE UNIVERSITY,MANHATTAN,KANSAS,48,50,Higher Ed,4811741,1710684,6401404,35.6
UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TEXAS,47,47,Higher Ed,7429340,2639710,10035138,35.5
KENNESAW STATE UNIVERSITY,KENNESAW,GEORGIA,39,39,Higher Ed,428000,151817,579817,35.5
UNIVERSITY OF WISCONSIN MADISON,MADISON,WISCONSIN,50.5,50.5,Higher Ed,176091032,62406007,240740136,35.4
NORTHERN KENTUCKY UNIVERSITY,HIGHLAND HEIGHTS,KENTUCKY,35,35,Higher Ed,230000,81420,311420,35.4
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PENNSYLVANIA,51.5,52.5,Higher Ed,299048349,105254959,396728993,35.2
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VERMONT,52.5,52.5,Higher Ed,38256934,13462906,51735719,35.2
NATIONAL JEWISH HEALTH,DENVER,COLORADO,58.5,58.5,Hosp,18897081,6654743,26427575,35.2
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,FORT WORTH,TEXAS,45,45,Higher Ed,7820238,2753216,11428326,35.2
LOUISIANA STATE UNIV HSC SHREVEPORT,SHREVEPORT,LOUISIANA,44,44,Higher Ed,4657018,1637370,5882603,35.2
OHIO UNIVERSITY ATHENS,ATHENS,OHIO,47.5,48.5,Higher Ed,1797277,632312,2429589,35.2
MEMORIAL HOSPITAL OF RHODE ISLAND,PAWTUCKET,RHODE ISLAND,52,48.5,Hosp,993356,349393,1342749,35.2
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NORTH CAROLINA,48,48,Higher Ed,63685413,22363764,98968006,35.1
FLORIDA STATE UNIVERSITY,TALLAHASSEE,FLORIDA,47,51.3,Higher Ed,11784890,4130953,15704150,35.1
PARK NICOLLET INSTITUTE,MINNEAPOLIS,MINNESOTA,35.3,35.3,NP res inst,1898403,666948,2565351,35.1
UNIVERSITY OF COLORADO DENVER,AURORA,COLORADO,53,54,Higher Ed,139123711,48678249,184692174,35
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VIRGINIA,49.5,52,Higher Ed,57487863,20135995,78658968,35
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,GALVESTON,TEXAS,53,54.5,Higher Ed,59132289,20696038,78061243,35
UNIVERSITY OF OREGON,EUGENE,OREGON,42,45,Higher Ed,19942688,6971657,26914345,35
"SWEDISH MEDICAL CENTER, FIRST HILL",SEATTLE,WASHINGTON,60.5,60.5,Hosp,1002071,350577,1309133,35
"CLARIAN HEALTH PARTNERS, INC.",INDIANAPOLIS,INDIANA,41,41,Hosp,48250,16888,65138,35
NORTHEASTERN UNIVERSITY,BOSTON,MASSACHUSETTS,55.5,55.5,Higher Ed,16972828,5917925,22360166,34.9
TEXAS TECH UNIVERSITY (Negotiated rate from FY 2012),LUBBOCK,TEXAS,47,47,Higher Ed,931457,324914,1256371,34.9
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NORTH CAROLINA,35,35,Hosp,498833,174081,672914,34.9
IOWA STATE UNIVERSITY,AMES,IOWA,48,50,Higher Ed,7997740,2775572,10760677,34.7
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MASSACHUSETTS,52.5,52.5,Higher Ed,2897677,1005893,3903570,34.7
TEXAS A&M UNIVERSITY-KINGSVILLE,KINGSVILLE,TEXAS,52,38,Higher Ed,363863,126131,489994,34.7
MICHIGAN STATE UNIVERSITY,EAST LANSING,MICHIGAN,53.5,53.5,Higher Ed,36546889,12646520,49054045,34.6
UNIVERSITY OF MONTANA,MISSOULA,MONTANA,42,42,Higher Ed,6280292,2172066,8452358,34.6
ROCHESTER GENERAL HOSPITAL (NY),ROCHESTER,NEW YORK,60,60,Hosp,393096,136089,529185,34.6
LOYOLA UNIVERSITY OF CHICAGO,CHICAGO,ILLINOIS,41.5,43,Higher Ed,249622,86296,335918,34.6
HUGO W. MOSER RES INST KENNEDY KRIEGER,BALTIMORE,MARYLAND,61.6,61.6,NP res inst,12468919,4299610,16768529,34.5
MOUNT DESERT ISLAND BIOLOGICAL LAB,Salisbury Cove,MAINE,,not available,NP res inst,5496667,1898286,7394953,34.5
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,ARKANSAS,48,49,NP res inst,3004559,1035972,4040531,34.5
CALIFORNIA STATE UNIVERSITY LONG BEACH,LONG BEACH,CALIFORNIA,44.5,44.5,Higher Ed,3141910,1082668,3803393,34.5
"KESSLER FOUNDATION, INC.",WEST ORANGE,NEW JERSEY,,not available,NP res inst,557867,191647,749514,34.4
NORTHWEST PORTLAND AREA INDIAN HLTH BD,PORTLAND,OREGON,35.9,35.9,NP res inst,415682,142475,558157,34.3
SUMMA HEALTH SYSTEM,AKRON,OHIO,38,38,NP res inst,320616,109608,430224,34.2
UNION COLLEGE,SCHENECTADY,NEW YORK,58.1,58.1,Higher Ed,246000,83593,329593,34
"CHRISTIANA CARE HEALTH SERVICES, INC.",NEWARK,DELAWARE,54,54,Hosp,1891394,641607,2533001,33.9
SOUTHERN METHODIST UNIVERSITY,DALLAS,TEXAS,46.5,47,Higher Ed,952023,322974,1274997,33.9
UNIVERSITY OF CALIFORNIA LOS ANGELES,LOS ANGELES,CALIFORNIA,54,54,Higher Ed,252681223,85516388,341211533,33.8
UNIVERSITY OF TEXAS EL PASO,EL PASO,TEXAS,50,50.5,Higher Ed,5739665,1940912,7613966,33.8
MEDICAL UNIVERSITY OF SOUTH CAROLINA,CHARLESTON,SOUTH CAROLINA,47.5,49,Higher Ed,59546999,20071819,78132255,33.7
TULANE UNIVERSITY OF LOUISIANA,NEW ORLEANS,LOUISIANA,50.5,50.5,Higher Ed,43479452,14672408,56847372,33.7
UNIVERSITY OF COLORADO AT BOULDER,BOULDER,COLORADO,52.5,52.5,Higher Ed,30049886,10113477,40292061,33.7
SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CALIFORNIA,49.5,49.5,Higher Ed,18865418,6362291,26533223,33.7
UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NEBRASKA,49,48.5,Higher Ed,9950965,3353026,13303991,33.7
MIAMI UNIVERSITY OXFORD,OXFORD,OHIO,42,42,Higher Ed,1951353,657704,2609057,33.7
"MONTEFIORE MEDICAL CENTER (BRONX, NY)",NEW YORK,NEW YORK,60.1,60.1,Hosp,416147,140092,803826,33.7
COLUMBIA UNIVERSITY TEACHERS COLLEGE,NEW YORK,NEW YORK,69.1,69.1,Higher Ed,1507218,506499,2013717,33.6
BOYCE THOMPSON INST FOR PLANT RESEARCH,ITHACA,NEW YORK,24.7,31.5,NP res inst,542083,182298,724381,33.6
MIDDLEBURY COLLEGE,MIDDLEBURY,VERMONT,58,59,Higher Ed,190080,63863,253943,33.6
AMERICAN LEGACY FOUNDATION,WASHINGTON,DIST OF COL,75,75,NP res inst,860542,288525,1149067,33.5
UNIVERSITY OF NEBRASKA OMAHA,OMAHA,NEBRASKA,41,43,Higher Ed,145329,48489,193818,33.4
COLORADO STATE UNIVERSITY-FORT COLLINS,FORT COLLINS,COLORADO,48,48.5,Higher Ed,23022579,7648533,32724352,33.2
UNIVERSITY OF NEVADA RENO,RENO,NEVADA,43.5,43.5,Higher Ed,12790267,4238424,17028691,33.1
SPAULDING REHABILITATION HOSPITAL,BOSTON,MASSACHUSETTS,65,65,Hosp,1435862,474813,1910675,33.1
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,SAN DIEGO,CALIFORNIA,39.2,39.2,NP res inst,7215210,2379067,9335440,33
TUFTS UNIVERSITY MEDFORD,MEDFORD,MASSACHUSETTS,53.5,53.5,Higher Ed,6468928,2133264,8602192,33
UNIVERSITY OF NEW ENGLAND,BIDDEFORD,MAINE,67.3,67.3,Higher Ed,2185591,721190,2906781,33
KAISER FOUNDATION RESEARCH INSTITUTE,OAKLAND,CALIFORNIA,58,58,NP res inst,26952483,8862969,36647504,32.9
FLORIDA INTERNATIONAL UNIVERSITY,MIAMI,FLORIDA,45,45,Higher Ed,10313399,3382291,13695690,32.8
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS,COLLEGE PARK,MARYLAND,52,52,Higher Ed,26573318,8700832,35138594,32.7
MEDICAL COLLEGE OF WISCONSIN,MILWAUKEE,WISCONSIN,53,53,Higher Ed,67231567,21925182,88920052,32.6
UNIVERSITY OF CALIFORNIA SANTA BARBARA,SANTA BARBARA,CALIFORNIA,51.5,53,Higher Ed,13917734,4536125,18453859,32.6
UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HAWAII,36.7,36.7,Higher Ed,28500551,9252725,36624663,32.5
GEORGIA STATE UNIVERSITY,ATLANTA,GEORGIA,44.5,47.5,Higher Ed,15482496,5032329,20457240,32.5
TEXAS CHRISTIAN UNIVERSITY,FORT WORTH,TEXAS,54,54,Higher Ed,987049,320333,1307382,32.5
MISSOURI BAPTIST MEDICAL CENTER (Negotiated rate from FY 2012),ST. LOUIS,MISSOURI,32.5,32.5,Hosp,536209,174268,630477,32.5
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,55,56.5,Higher Ed,387224699,125547739,501656900,32.4
HOWARD UNIVERSITY,WASHINGTON,DIST OF COL,48,48,Higher Ed,6711927,2174523,8290778,32.4
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TEXAS,56.5,56.5,Higher Ed,144793022,46579993,185954665,32.2
NORTHERN ARIZONA UNIVERSITY,FLAGSTAFF,ARIZONA,49,49,Higher Ed,2795933,900648,3613581,32.2
LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CALIFORNIA,38,38,Higher Ed,229971,73980,303951,32.2
GROUP HEALTH COOPERATIVE,SEATTLE,WASHINGTON,60,60,NP res inst,12430652,3986889,18822184,32.1
JOHN JAY COLLEGE OF CRIMINAL JUSTICE,NEW YORK,NEW YORK,69.5,69.5,Higher Ed,780965,250085,1031050,32
NORTHERN ILLINOIS UNIVERSITY,DE KALB,ILLINOIS,47,47,Higher Ed,404945,129720,534665,32
UNIVERSITY OF WASHINGTON,SEATTLE,WASHINGTON,54,54.5,Higher Ed,345756989,110356378,454274167,31.9
"HARVARD PILGRIM HEALTH CARE, INC.",BOSTON,MASSACHUSETTS,62,64,NP res inst,3766406,1200558,4966964,31.9
CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CALIFORNIA,32.3,32.3,Higher Ed,2517655,802085,3319740,31.9
UNIVERSITY OF MINNESOTA TWIN CITIES,MINNEAPOLIS,MINNESOTA,52,52,Higher Ed,200951672,63938732,263576394,31.8
SOUTH DAKOTA STATE UNIVERSITY,BROOKINGS,SOUTH DAKOTA,45,45,Higher Ed,512851,163156,676007,31.8
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NORTH CAROLINA,48,52,Higher Ed,289586925,91848205,383752058,31.7
UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NEBRASKA,49,50.5,Higher Ed,43024837,13646203,56500554,31.7
BOWLING GREEN STATE UNIV BOWLING GREEN,BOWLING GREEN,OHIO,39,39,Higher Ed,1550835,490902,2041737,31.7
NORTH CAROLINA STATE UNIVERSITY RALEIGH,RALEIGH,NORTH CAROLINA,49,51.5,Higher Ed,13245682,4190869,17366647,31.6
UNIVERSITY OF NORTH CAROLINA GREENSBORO,GREENSBORO,NORTH CAROLINA,43.5,43.5,Higher Ed,4642223,1465723,6107946,31.6
UNIVERSITY OF AKRON,AKRON,OHIO,50,50,Higher Ed,953101,301188,1254289,31.6
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TEXAS,52,52,Higher Ed,61756772,19447049,79421539,31.5
UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,MARYLAND,53.5,53.5,Higher Ed,108887108,34194028,163187812,31.4
CHICAGO STATE UNIVERSITY,CHICAGO,ILLINOIS,45,45,Higher Ed,873575,274164,1147739,31.4
UNIVERSITY OF NORTHERN COLORADO,GREELEY,COLORADO,35.6,35.6,Higher Ed,300000,93870,393870,31.3
UNIVERSITY OF WISCONSIN MILWAUKEE,MILWAUKEE,WISCONSIN,47.7,49.5,Higher Ed,4985513,1557595,6543108,31.2
UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,ALABAMA,46.5,46.5,Higher Ed,138272661,43002852,188847448,31.1
"CHESTNUT HEALTH SYSTEMS, INC.",BLOOMINGTON,ILLINOIS,33.1,33.1,NP res inst,1577982,491497,2069479,31.1
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,ILLINOIS,38,38,NP res inst,284261,88392,372653,31.1
GEORGETOWN UNIVERSITY,WASHINGTON,DIST OF COL,55,55,Higher Ed,36321037,11242657,47890937,31
MISSISSIPPI STATE UNIVERSITY,MISSISSIPPI STATE,MISSISSIPPI,44.5,44.5,Higher Ed,3484964,1073472,4558436,30.8
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,NORTHRIDGE,CALIFORNIA,45,45,Higher Ed,3539929,1091994,4243269,30.8
UNIVERSITY OF NORTH CAROLINA CHARLOTTE,CHARLOTTE,NORTH CAROLINA,48.5,48.5,Higher Ed,1752232,538997,2291229,30.8
MONTANA STATE UNIVERSITY - BOZEMAN,BOZEMAN,MONTANA,42.5,44,Higher Ed,10351152,3174640,13525792,30.7
SCRIPPS HEALTH,SAN DIEGO,CALIFORNIA,50,60,NP res inst,421906,129605,551511,30.7
PORTLAND STATE UNIVERSITY,PORTLAND,OREGON,46,45.5,Higher Ed,2897762,886954,3784716,30.6
DREXEL UNIVERSITY,PHILADELPHIA,PENNSYLVANIA,54.5,54.5,Higher Ed,26221891,7989169,33720746,30.5
UNIVERSITY OF TEXAS HLTH CTR AT TYLER,TYLER,TEXAS,41,43,Higher Ed,1279200,390073,1669273,30.5
MARINE BIOLOGICAL LABORATORY,WOODS HOLE,MASSACHUSETTS,60.5,60.5,NP res inst,4476488,1353331,5829819,30.2
TEXAS A&M UNIVERSITY,COLLEGE STATION,TEXAS,46.5,46,Higher Ed,11581045,3488222,14950767,30.1
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NEW MEXICO,51,51,Higher Ed,7853053,2360822,10188875,30.1
"PALO ALTO INSTITUTE FOR RES & EDU, INC.",PALO ALTO,CALIFORNIA,41,41,NP res inst,12458974,3740842,16141630,30
FATHER FLANAGAN'S BOYS' HOME,BOYS TOWN,NEBRASKA,48.8,48.8,NP res inst,3444482,1034084,4383611,30
SOUTH CAROLINA STATE UNIVERSITY,ORANGEBURG,SOUTH CAROLINA,30,30,Higher Ed,74575,22373,73904,30
SETON HALL UNIVERSITY,SOUTH ORANGE,NEW JERSEY,57.5,57.5,Higher Ed,423324,126378,549702,29.9
UNIVERSITY OF ALABAMA IN TUSCALOOSA,TUSCALOOSA,ALABAMA,46,47,Higher Ed,2367528,706695,3074223,29.8
TUFTS MEDICAL CENTER,BOSTON,MASSACHUSETTS,59,59,Hosp,24027141,7127675,30823441,29.7
CLARK ATLANTA UNIVERSITY,ATLANTA,GEORGIA,58,58,Higher Ed,2385708,708592,3094300,29.7
JACKSON STATE UNIVERSITY,JACKSON,MISSISSIPPI,44,49.5,Higher Ed,3532210,1044476,6657384,29.6
UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MISSISSIPPI,46.5,46.5,Higher Ed,3145000,932325,4077325,29.6
PALO ALTO MEDICAL FOUNDATION RES INST,PALO ALTO,CALIFORNIA,41.8,41.8,NP res inst,1864630,552136,2416766,29.6
NEW YORK INST OF TECHNOLOGY,OLD WESTBURY,NEW YORK,70,70,Higher Ed,432006,128041,560047,29.6
UNIVERSITY OF FLORIDA,GAINESVILLE,FLORIDA,46.5,49,Higher Ed,95762180,28289371,127141750,29.5
COLLEGE AT OSWEGO,OSWEGO,NEW YORK,76,76,Higher Ed,250789,73762,324551,29.4
CLEMSON UNIVERSITY,CLEMSON,SOUTH CAROLINA,48.5,49.5,Higher Ed,3769941,1104862,4874803,29.3
"FRIENDS RESEARCH INSTITUTE, INC.",BALTIMORE,MARYLAND,46.7,46.7,NP res inst,3101395,904703,4006098,29.2
MOREHOUSE SCHOOL OF MEDICINE,ATLANTA,GEORGIA,41.5,41.5,Higher Ed,23150248,6739847,27800365,29.1
HEBREW REHABILITATION CENTER FOR AGED,BOSTON,MASSACHUSETTS,64.5,65,Hosp,5202878,1513401,6716279,29.1
KENT STATE UNIVERSITY AT KENT,KENT,OHIO,47.2,47.2,Higher Ed,2318145,674487,2992632,29.1
UNIVERSITY OF MIAMI CORAL GABLES,CORAL GABLES,FLORIDA,48.5,48.5,Higher Ed,6285350,1822788,7984490,29
"MORGRIDGE INSTITUTE FOR RESEARCH, INC.",MADISON,WISCONSIN,75,75,NP res inst,1818294,526997,2345291,29
UNIVERSITY OF GUAM,MANGILAO,GUAM,57,57,Higher Ed,1463391,424570,938735,29
NEW YORK STRUCTURAL BIOLOGY CENTER,NEW YORK,NEW YORK,85,85,NP res inst,3822109,1099364,4921473,28.8
LAHEY CLINIC,BURLINGTON,MASSACHUSETTS,31,31,Hosp,215000,62000,273000,28.8
NORTHEASTERN ILLINOIS UNIVERSITY,CHICAGO,ILLINOIS,55,55,Higher Ed,136460,39261,132324,28.8
CHILDRENS HOSPITAL OF PHILADELPHIA,PHILADELPHIA,PENNSYLVANIA,67.5,67.5,Hosp,87482075,25084232,108503611,28.7
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,COLUMBIA,SOUTH CAROLINA,45,45,Higher Ed,23437447,6725383,30162830,28.7
CALIFORNIA STATE UNIVERSITY SAN MARCOS,SAN MARCOS,CALIFORNIA,48,48,Higher Ed,1905522,547352,2434018,28.7
NORTHERN CALIFORNIA INSTITUTE RES & EDUC,SAN FRANCISCO,CALIFORNIA,53.3,53.3,NP res inst,19371255,5516466,24887721,28.5
SUNY DOWNSTATE MEDICAL CENTER,BROOKLYN,NEW YORK,59.5,59.5,Higher Ed,16546651,4707797,20557902,28.5
NEW YORK BLOOD CENTER,NEW YORK,NEW YORK,71,69.3,NP res inst,4451568,1261713,5713281,28.3
"BUTLER HOSPITAL (PROVIDENCE, RI)",PROVIDENCE,RHODE ISLAND,37.5,40.7,Hosp,6948985,1957362,8906347,28.2
STATE UNIVERSITY NEW YORK BINGHAMTON,BINGHAMTON,NEW YORK,53,54,Higher Ed,3591532,1010204,4601736,28.1
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MASSACHUSETTS,48,48,Hosp,618979,174207,1227196,28.1
